SALES,QUANTITY_SOLD,YEAR_GROUP
223937.9679,6827,2014
300345.4846,9268,2014
86782.46773,2678,2014
200173.1168,6175,2014
326906.0742,10084,2014
307043.9354,9470,2014
179188.8845,5524,2014
306351.9509,9448,2014
224020.41,6911,2014
101836.4022,2990,2014
107804.3049,3159,2014
144829.9567,4246,2014
146571.4824,4297,2014
95422.37298,2796,2014
114883.1738,3369,2014
80090.80008,2348,2014
98945.37116,2903,2014
84904.90171,2491,2014
135460.6197,3968,2014
149925.7497,4393,2014
74297.30718,2176,2014
83356.42456,2443,2014
89922.01429,2638,2014
57806.30278,1704,2014
63977.75035,1872,2014
116958.7998,3423,2014
155272.8248,4544,2014
82885.21591,2426,2014
72353.42588,2117,2014
50415.90376,1476,2014
67458.30189,1974,2014
64640.36931,1892,2014
137693.8735,4030,2014
181209.1285,5304,2014
113433.581,3320,2014
143192.5334,4191,2014
130126.6499,3809,2014
187155.8685,5764,2014
102314.7096,3028,2014
301553.8426,9284,2014
316073.1775,9737,2014
135178.0426,4163,2014
147727.5162,4552,2014
135498.7464,4172,2014
163432.8452,5037,2014
138291.6333,4259,2014
336901.3717,10381,2014
367729.2682,11332,2014
133913.8414,4127,2014
150800.347,4649,2014
55591.93034,1627,2014
106427.1918,3281,2014
78940.55442,2310,2014
317916.3179,9802,2014
309217.8756,9772,2014
138491.55,4270,2014
133146.2222,4106,2014
224994.6562,6937,2014
225051.5915,6934,2014
344299.6824,11082,2014
661876.5,20805,2014
846678.3882,26410,2014
478902.3049,15004,2014
538827.2021,16884,2014
310346.1213,9789,2014
256390.5222,8079,2014
167803.6598,5072,2014
465318.0215,14551,2014
520146.7496,16262,2014
224699.2528,7014,2014
286230.6789,8932,2014
187143.0181,5737,2014
191700.3891,5903,2014
164663.9676,5056,2014
395941.3451,12167,2014
518183.2104,15971,2014
226617.9549,6968,2014
243707.8719,7494,2014
94849.7438,2707,2014
92386.78307,2637,2014
180394.8277,5149,2014
200939.6924,5735,2014
172953.9247,4936,2014
70194.79954,2003,2014
81378.21463,2323,2014
130227.0147,3822,2014
125310.0364,3666,2014
119452.3396,3543,2014
276174.7693,8130,2014
357369.2669,10518,2014
163865.4903,4791,2014
190719.6145,5583,2014
244535.2052,7155,2014
155620.5038,4575,2014
136001.9782,3997,2014
190559.8875,5558,2014
217110.5025,6320,2014
119190.1,3447,2014
131910.1975,3854,2014
118921.3077,3394,2014
124828.2828,3563,2014
179326.4902,5380,2014
318949.8171,9573,2014
375031.1093,11250,2014
166393.5407,4990,2014
193652.3278,5810,2014
249805.5172,7497,2014
294023.4109,8821,2014
612236.0058,18366,2014
464815.5179,13940,2014
360480.9404,10814,2014
114279.5773,3429,2014
161170.8204,4834,2014
182483.1465,5475,2014
109358.4125,3121,2014
98430.11411,2809,2014
295741.347,8537,2014
285053.9799,8209,2014
124964.7965,3592,2014
124175.8084,3576,2014
131842.5716,3807,2014
154850.0573,4398,2014
180294.2687,5124,2014
163849.0358,4581,2014
131436.7924,3697,2014
93082.04396,2642,2014
110887.0133,3154,2014
119385.5754,3324,2014
91719.58938,2677,2014
96335.44895,2683,2014
303226.2984,9328,2014
431695.7092,13306,2014
200407.2771,6173,2014
183413.7083,5653,2014
146166.6011,4503,2014
201120.7276,6253,2014
270123.5508,8408,2014
415315.3839,12949,2014
498716.9976,15508,2014
166433.1721,5141,2014
168520.6294,5194,2014
178123.5321,5550,2014
194878.8026,6070,2014
115475.0969,3421,2014
430521.0245,13384,2014
590642.8257,18356,2014
210764.718,6500,2014
218189.3485,6752,2014
226132.4639,7023,2014
243720.868,7579,2014
207429.429,6448,2014
503149.4313,15637,2014
603748.7895,18775,2014
456017.4631,14188,2014
425845.196,13256,2014
328217.77,10223,2014
286405.9988,8904,2014
184989.8887,5783,2014
288118.3044,9005,2014
391930.878,12222,2014
193772.5811,6037,2014
214177.9834,6607,2014
188334.5212,5857,2014
174324.9948,5429,2014
200271.5643,6232,2014
468701.6302,14585,2014
473425.7542,14745,2014
224232.1214,6991,2014
185606.275,5788,2014
212687.5094,6632,2014
184259.6924,5752,2014
113735.8162,3578,2014
203165.083,6119,2014
203345.2446,6161,2014
134944.489,4015,2014
138298.2102,4133,2014
36692.67986,1047,2014
56077.54269,1601,2014
55780.70745,1592,2014
131721.2383,3759,2014
146169.0766,4172,2014
62073.58541,1772,2014
93619.84699,2672,2014
180183.0314,5143,2014
104760.7062,2990,2014
93450.53368,2667,2014
98087.5559,2799,2014
117562.2629,3355,2014
70153.08097,2002,2014
68918.41529,1967,2014
108417.4028,3094,2014
81802.60821,2335,2014
103998.5597,2968,2014
134018.0893,3825,2014
99277.2995,2833,2014
49705.232,1419,2014
75384.57455,2151,2014
110288.2342,3148,2014
156536.6862,4825,2014
80823.0592,2307,2014
124615.6856,3557,2014
242758.9505,7485,2014
85078.24369,2428,2014
86738.06743,2475,2014
56673.61581,1618,2014
165742.1705,5106,2014
95618.2488,2729,2014
515698.7958,15897,2014
562590.3665,17343,2014
266305.9259,8207,2014
292634.7457,9018,2014
212360.9931,6548,2014
198019.3321,6102,2014
295508.3273,9108,2014
611894.6732,18867,2014
628685.2188,19384,2014
307272.6837,9473,2014
362106.5326,11170,2014
262349.591,8091,2014
80697.9035,2303,2014
103272.6227,2947,2014
439421.4221,13542,2014
408616.3506,12588,2014
195866.773,6032,2014
232347.3532,7158,2014
190325.1811,5863,2014
197698.1186,6092,2014
177908.8356,5485,2014
473321.8825,14587,2014
541600.8922,16686,2014
239513.979,7380,2014
255224.2226,7864,2014
160372.0397,4941,2014
171587.3323,5151,2014
164208.0606,4928,2014
376778.8357,11309,2014
453633.474,13613,2014
214392.4009,6424,2014
316404.0623,9493,2014
242824.5013,7619,2014
274712.2533,8909,2014
258066.1694,8400,2014
594007.2132,19317,2014
717096.7128,23310,2014
358170.9963,11646,2014
594953.6349,19366,2014
469469.941,15291,2014
464067.7993,15100,2014
312311.954,10164,2014
501279.0004,16310,2014
552703.9038,17985,2014
234153.7622,7620,2014
244481.4977,7958,2014
122749.6353,3503,2014
78736.40284,2247,2014
70875.11067,2023,2014
148634.3914,4242,2014
171724.8288,4901,2014
86435.69883,2467,2014
120236.1827,3432,2014
83204.19669,2375,2014
73768.03473,2105,2014
69425.44512,1982,2014
137154.9541,3915,2014
153569.0619,4383,2014
75633.32059,2159,2014
90815.92981,2592,2014
110118.1564,3143,2014
209908.3831,6457,2014
358365.683,11039,2014
585463.996,18036,2014
617019.0915,19017,2014
283850.5971,8747,2014
264317.1104,8147,2014
358024.9813,11036,2014
594438.2808,18330,2014
470507.663,14503,2014
518693.5287,15986,2014
656245.8284,20223,2014
280055.1177,8631,2014
375648.0175,11579,2014
78111.71646,2127,2014
70509.13279,1923,2014
103281.311,2809,2014
179841.4318,4891,2014
138038.2398,3758,2014
61037.56223,1661,2014
86799.75945,2360,2014
69570.50147,1894,2014
130476.3553,3548,2014
95229.77348,2591,2014
121057.8613,3293,2014
169498.9164,4611,2014
90692.37588,2468,2014
101723.915,2773,2014
103395.6913,2815,2014
99075.5991,2701,2014
97476.14472,2651,2014
248974.6528,6781,2014
302721.6833,8249,2014
128520.7278,3502,2014
145185.2683,3949,2014
89527.55663,2435,2014
81991.88284,2232,2014
69704.49111,1898,2014
166652.3948,4537,2014
247453.1022,6730,2014
148476.1812,4038,2014
205368.9226,5581,2014
99244.68185,2519,2014
72756.8631,1847,2014
86867.45808,2309,2014
140167.8039,3722,2014
160727.3028,4268,2014
74115.62878,1968,2014
76103.29152,2016,2014
56303.36657,1497,2014
49436.81586,1314,2014
55033.1224,1466,2014
149808.1659,3984,2014
180685.5107,4802,2014
75871.43677,2017,2014
86313.33408,2297,2014
62631.79875,1665,2014
48529.10336,1291,2014
51040.88137,1361,2014
53973.92224,1281,2014
47497.98253,1122,2014
31219.95153,737,2014
26870.32387,641,2014
40530.64229,968,2014
30371.43134,709,2014
37776.65877,880,2014
46818.20532,1096,2014
88321.62555,2068,2014
101037.8278,2375,2014
105100.6676,2492,2014
88219.52549,2170,2014
71590.36929,1784,2014
54996.62169,1368,2014
77884.18161,1914,2014
150370.1167,3765,2014
104675.3761,2712,2014
90121.53048,2222,2014
75425.4437,1861,2014
161844.8094,4095,2014
158603.357,4157,2014
279092.096,7259,2014
369350.9895,9654,2014
177500.1077,4632,2014
282246.6287,7341,2014
166037.9257,4308,2014
148910.9984,3865,2014
202359.1429,5288,2014
274343.6543,7141,2014
316167.0747,8268,2014
173833.4001,4541,2014
204565.0818,5014,2014
316394.7309,7778,2014
486230.3202,11809,2014
137686.5321,3344,2014
48102.96241,1169,2014
110162.132,2676,2014
69051.33709,1677,2014
133307.369,3237,2014
216389.5043,5607,2014
365055.312,9464,2014
112161.4196,2905,2015
271101.4617,7023,2015
245813.2883,6371,2015
178394.812,4624,2015
220443.6315,5717,2015
181534.1887,4705,2015
83176.48139,2020,2015
76894.77935,1868,2015
123859.388,3008,2015
120807.5742,2934,2015
69597.36735,1690,2015
84738.29441,2058,2015
64653.97214,1570,2015
59553.38603,1446,2015
79080.75696,1921,2015
149444.0568,3629,2015
170624.0799,4144,2015
74744.28315,1815,2015
90144.1614,2189,2015
97826.8088,2376,2015
62795.97915,1525,2015
66550.98983,1616,2015
154670.8907,3757,2015
158722.1056,3855,2015
78092.27692,1897,2015
91830.40204,2230,2015
76992.93568,1870,2015
59897.71588,1455,2015
